SYMBOL,DELIV_PER
KAMATHOTEL,50.35
KAMDHENU,49.69
KAMOPAINTS,57.56
KANANIIND,61.38
KANORICHEM,56.68
KANPRPLA,67.97
KANSAINER,52.28
KARMAENG,67.44
KARURVYSYA,37.45
KAUSHALYA,61.85
KAYA,57.07
KAYNES,14.5
KCP,49.07
KCPSUGIND,54.88
KDDL,44.37
KEC,31.58
KECL,15.36
KEEPLEARN,70.92
KEI,37.45
KELLTONTEC,54.9
KERNEX,27.37
KESORAMIND,39.85
KEYFINSERV,65.35
KFINTECH,35.91
KHADIM,32.97
KHAICHEM,39.98
KHAITANLTD,74.71
KHANDSE,90.08
KICL,59.29
KILITCH,46.58
KIMS,45.48
KINGFA,60.99
KIOCL,35.87
KIRIINDUS,35.47
KIRLOSBROS,26.54
KIRLOSENG,34.03
KIRLOSIND,43.49
KIRLPNU,39.9
KITEX,35.0
KKCL,36.31
KMEW,33.08
KMSUGAR,48.95
KNAGRI,48.35
KNRCON,48.04
KOHINOOR,68.05
KOKUYOCMLN,32.66
KOLTEPATIL,61.21
KOPRAN,45.68
KOTAKBANK,64.1
KOTARISUG,53.73
KOTHARIPET,49.52
KOTHARIPRO,61.96
KOTYARK,44.94
KPEL,33.25
KPIGREEN,28.24
KPIL,49.84
KPITTECH,36.06
KPRMILL,56.21
KRBL,40.66
KREBSBIO,80.55
KRIDHANINF,55.42
KRISHANA,41.49
KRISHIVAL,81.23
KRISHNADEF,33.55
KRITI,40.71
KRITIKA,73.12
KRITINUT,53.47
KRN,15.92
KRONOX,48.19
KROSS,39.32
KRSNAA,45.73
KRYSTAL,63.0
KSB,45.28
KSCL,52.37
KSHINTL,40.39
KSL,48.21
KSOLVES,51.9
